,F,N,Plate-IFU,g,i,r,u,z
401,29.1357,34.2616,b'10509-1902',188.068,338.039,271.268,73.8371,307.049
402,11.9854,15.0531,b'10509-3701',196.611,463.001,330.348,69.8428,478.64
403,5.88009,9.18845,b'10509-3702',840.518,2581.94,1785.83,170.44,3284.83
404,91.6772,114.839,b'10509-3703',581.679,986.01,810.735,254.94,1133.01
405,39.8598,70.0083,b'10509-6101',392.631,741.459,560.5,162.378,780.014
406,60.1393,84.9734,b'10509-6102',530.264,1017.1,799.098,223.012,1103.92
407,31.7453,38.98,b'10509-6103',328.952,772.304,493.105,135.767,742.484
408,42.0509,71.1473,b'10509-6104',555.868,1111.93,875.01,202.026,1243.6
409,44.0819,78.8738,b'10509-9101',821.112,2103.94,1459.03,291.095,2584.48
410,2.29959,3.61324,b'10509-9102',166.207,817.527,435.52,46.9695,744.386
411,0.0,0.0,b'10510-12701',801.189,2504.52,1626.38,253.948,3291.15
412,0.0,0.0,b'10510-12702',241.188,818.68,521.869,72.8678,823.115
413,94.1497,119.268,b'10510-12703',683.534,1093.58,886.025,275.627,1030.72
414,6.29257,18.5022,b'10510-12705',763.494,2353.3,1579.73,210.773,3371.18
415,0.0,0.0,b'10510-1901',309.535,917.622,639.194,61.2426,1194.92
416,0.0,0.0,b'10510-3701',207.242,571.599,411.115,48.6536,793.691
417,0.697222,0.000127313,b'10510-3702',141.166,555.684,354.399,30.414,766.385
418,1.51855,0.920878,b'10510-3703',244.472,831.38,554.473,44.829,1125.35
419,12.1179,17.6951,b'10510-3704',413.463,1036.63,765.336,118.014,1267.24
420,17.8673,26.8044,b'10510-6101',295.777,717.01,520.324,115.235,888.527
421,0.0,0.0,b'10510-6102',722.196,2009.32,1376.76,150.792,2522.32
422,4.06769,8.04276,b'10510-6104',739.252,2519.38,1654.8,139.533,3429.32
423,0.0,0.0,b'10510-9101',126.479,309.508,231.014,62.7747,460.636
424,0.0,0.0,b'10510-9102',1065.26,3592.55,2380.2,234.023,4696.3
425,0.0,0.0,b'10511-12701',364.873,1091.03,721.347,84.8491,1322.52
426,0.0,0.0,b'10511-12702',155.647,639.021,376.276,35.6556,712.328
427,0.0,0.0,b'10511-12703',181.534,678.254,428.749,52.7667,876.924
428,30.0109,43.8954,b'10511-12704',366.764,825.083,607.203,128.434,939.866
