Plate-IFU,extinction
10504-12703,0.00880674320520152
10504-12704,0.14783357113230225
10504-12705,-0.5996377033130834
10504-1901,-0.651099375581311
10504-1902,-0.3824866366018318
10504-3701,-0.9804946466402052
10504-3702,-0.9251947568774436
10504-3703,0.30975253400832997
10504-3704,-1.00697871224938
10504-6101,-1.7803004496098418
10504-6102,-1.2904351484555179
10504-6103,-0.2769541469508351
10504-6104,0.26685794485462583
10504-9101,0.7466186040154543
10504-9102,0.32346551041740396
10505-12701,0.3832741712741481
10505-12702,-1.3984693490508677
10505-12703,0.05315279166697508
10505-12704,0.32514737663877546
10505-12705,-1.1333199173579327
10505-1901,0.5046532861823374
10505-1902,-0.6098667006789216
10505-3701,-0.022839521666082104
10505-3702,-1.0464199839655624
10505-3703,0.14779984608348365
10505-3704,-1.525713933848569
10505-6101,999.0
10505-6103,-0.30649117051160607
10505-6104,0.08635582434496689
10505-9101,0.10527304190843358
10505-9102,-0.934740383036089
10506-12701,0.08103570946026209
10506-12702,0.2725967186072276
10506-12703,0.18787202096052508
10506-12704,0.10317710746832147
10506-12705,0.031227337790210058
10506-1901,0.19304500183389814
10506-1902,-0.4600558017351435
10506-3701,0.12046135475069854
10506-3702,-0.2765889700938582
10506-3703,0.14301692585946232
10506-3704,-1.1077304110400468
10506-6101,0.22260180857113399
10506-6102,0.17414975376673056
10506-6103,-0.7307553871582307
10506-6104,0.23381647856743767
10506-9101,0.21080889641459358
10506-9102,0.2536585761396429
10507-12701,-0.8466506361840839
10507-12702,0.08779731242623354
10507-12703,0.2016728747806499
10507-12704,0.5142250052336939
10507-12705,0.25157168879314407
10507-1901,-0.29833360503085726
10507-3701,0.11226497166577099
10507-3702,0.42748522793631283
10507-3703,0.675724252146931
10507-3704,0.16854220412412083
10507-6101,0.08654962705882781
10507-6102,0.2269823513313947
10507-6103,0.40999877214470143
10507-6104,0.19975959158374434
10507-9101,0.16894993034986638
10507-9102,0.42410890248571664
10508-12701,0.29692265107656673
10508-12702,0.36126758453127417
10508-12703,0.3128962208403625
10508-12704,0.10605882423017741
10508-12705,0.2265731959494415
10508-1901,0.20341260701190983
10508-1902,-0.18370794004180022
10508-3701,-0.12087910827341912
10508-3703,-0.4179067475305837
10508-3704,-0.23398162679360288
10508-6102,-1.592317799356006
10508-6103,0.48908039430909644
10508-6104,0.3634515437596942
10508-9101,-0.8436441376998665
10508-9102,-1.8028614393182316
10509-12701,0.2082296712096621
10509-12702,0.23995199120446692
10509-12704,-0.0938612961329083
10509-12705,-0.4128335405291881
10509-1901,0.37128031663103966
10509-1902,0.10790840264558073
10509-3701,0.14334463521624624
10509-3702,-1.9166553967432085
10509-3703,0.11107166636075216
10509-6101,0.1959680081173237
10509-6102,0.3901741232158764
10509-6103,0.17258613910129977
10509-6104,0.24862522467507658
10509-9101,0.41123582262784814
10509-9102,-0.5287541406551791
10510-12701,-0.5063054731757471
10510-12702,-0.500616445249119
10510-12703,0.05589154051543588
10510-12705,0.8164021179857901
10510-1901,-0.21185424349392618
10510-3701,-0.39337265827372087
10510-3702,-1.2988884152179105
10510-3703,-0.2221560893243723
10510-3704,0.16296843570358738
10510-6101,0.1449257467876806
10510-6102,-0.4634851805075391
10510-6104,0.2186201811618911
10510-9101,-0.005446966870254941
10510-9102,-0.38346440602087056
10511-12701,0.19598266476223855
10511-12702,-0.17805678789186052
10511-12703,0.18362606526874595
10511-12704,0.29213612058265176
10511-12705,0.4316607475109485
10511-1901,0.08870874131817133
10511-1902,-0.18768455450177624
10511-3701,0.2232397644607185
10511-3702,-0.20456561230741338
10511-3703,0.33717088679743545
10511-3704,0.18033844332906548
10511-6101,0.2509980755505463
10511-6102,-0.28967246414946585
10511-6103,-0.7929901519219056
10511-6104,-0.361166720295749
10511-9101,0.28709971926828703
10511-9102,-0.1876536302653732
10512-12701,0.3266951483054072
10512-12702,0.2377282548078708
10512-12703,-0.014635801147153444
10512-12704,0.14938185966033588
10512-12705,0.2257067735149499
10512-1901,-0.3522260438873032
10512-1902,0.21468733179577026
10512-3701,-0.5284151014414903
10512-3702,0.2140430063433834
10512-3703,0.21231457099538528
10512-3704,0.16870231433847735
10512-6101,-0.05779748293036636
10512-6102,0.6244737178704615
10512-6103,0.18153805703989156
10512-6104,0.20949260725519062
10512-9101,0.4108629172737566
10512-9102,0.42686730574233
10513-12701,-0.011601116979973373
10513-12702,0.22720796330720677
10513-12703,0.3311124943985295
10513-12704,-0.6666002589391
10513-12705,0.17997716170102024
10513-1901,-0.9676602490456413
10513-1902,-0.16188176311830135
10513-3701,0.1662757364735597
10513-3702,0.09076443839839499
10513-3703,0.24625266644802915
10513-3704,-0.1647328312627457
