Plate-IFU,extinction,ha_6564,ha_6564c,l_ha,l_hac
9182-12702,0.5449190989673516,5.3322558593750007e-14,1.8401580023285854e-13,9.881402494208644e+40,3.4100655245149784e+41
9182-12703,0.3864303174710572,1.333584442138672e-15,3.2099962842950064e-15,1.5726848223188234e+40,3.7855213936918665e+40
9182-12704,999.0,0.0,999.0,999.0,999.0
9182-12705,0.3766113900622756,4.494995422363281e-15,1.0580836854264795e-14,1.811337139823714e+40,4.263733544464642e+40
9182-1901,999.0,0.0,999.0,999.0,999.0
9182-1902,0.4550404090881563,1.9188842773437502e-14,5.398395218784042e-14,6.901322339588246e+41,1.9415483237422246e+42
9182-3701,0.39697976019122344,6.387125488281251e-14,1.574721902747212e-13,1.1913011799388173e+41,2.9371085071996427e+41
9182-3702,999.0,0.0,999.0,999.0,999.0
9182-3703,999.0,0.0,999.0,999.0,999.0
9182-3704,999.0,0.0,999.0,999.0,999.0
9182-6101,0.2961015381267579,1.6767362594604493e-16,3.286822070293186e-16,2.0075032653872603e+39,3.935208057696403e+39
9182-6102,999.0,0.0,999.0,999.0,999.0
9182-6103,999.0,0.0,999.0,999.0,999.0
9182-6104,999.0,0.0,999.0,999.0,999.0
9182-9101,999.0,0.0,999.0,999.0,999.0
9182-9102,0.5091124316161425,5.1884648437500003e-14,1.6505727499080862e-13,9.81701429995989e+40,3.1230232403888586e+41
9183-12701,999.0,0.0,999.0,999.0,999.0
9183-12702,0.4270916986550759,1.7891665039062502e-14,4.7236279511614904e-14,4.625924870532907e+40,1.2213032141343571e+41
9183-12703,0.2488193027191352,3.20804557800293e-16,5.647743254015059e-16,1.2397184994114814e+39,2.1825163083522968e+39
9183-12704,999.0,0.0,999.0,999.0,999.0
9183-1901,999.0,0.0,999.0,999.0,999.0
9183-1902,999.0,0.0,999.0,999.0,999.0
9183-3703,999.0,0.0,999.0,999.0,999.0
9183-3704,0.304849536167343,1.1503890991210939e-15,2.3003409986460008e-15,4.499385773710321e+39,8.997061578467651e+39
9183-6101,0.4003306971594181,2.44457666015625e-14,6.073095705731166e-14,2.9006902072958243e+40,7.206224917675007e+40
9183-6102,999.0,0.0,999.0,999.0,999.0
9183-6103,999.0,0.0,999.0,999.0,999.0
9183-6104,999.0,0.0,999.0,999.0,999.0
9183-9101,0.5563007099918885,4.631371154785157e-15,1.640172958229869e-14,1.390859763861899e+40,4.925648360139021e+40
9183-9102,0.07870176236763204,4.2821865234375005e-14,5.1210611317086725e-14,5.000139747306364e+40,5.9796604311591625e+40
9184-12701,0.21494379582543427,2.603838500976563e-15,4.2443047492856075e-15,2.2342817887048865e+40,3.6419204967919195e+40
9184-12702,0.12420497790632312,1.2562343750000001e-14,1.6660415462319926e-14,9.553075401013668e+39,1.2669467441038318e+40
